question	answer
b l a c b i r d	b l a c k b i r d
s q u	s a u
m y x	m ỹ
q j ấ c	g i ấ c
i s r a e k	i s r a e l
m z n g	m a n g
n h ữ n v	n h ữ n g
t r w n g	t r a n g
p h n g	p h o n g
t h ô i	n ó i
m ấ f	m ấ t
h ã u	h ã y
h o o v e r	h o o v e r
g j a	g i a
y o u	y o u
g i ữ x	g i ữ a
ọ c	đ ọ c
t r ự v	t r ự c
v ấ t	v ấ t
d e l t a	d e l t a
a v e n t a d o r	a v e n t a d o r
r â m	r â m
h ô i	h ộ i
ự c	v ự c
h n f e f i n e d	u n d e f i n e d
x ộ j	d ộ i
l a y	p l a y
n h i ễ b	n h i ễ m
n u a u	n h a u
h ờ i	t h ờ i
b ờ m	b ờ m
c j ấ t	c h ấ t
h a f n h	h à n h
x ô n g	x ô n g
l o y o l a	l o y o l a
v ì	g ì
k u 4 s 3 j	h u a w e i
t r ê h	t r ê n
e a g l e	e a g l e
u ộ i	h ộ i
n t ư n g	n h ư n g
ư ở n q	v ư ở n g
b l ế n	b i ế n
t h ờ	t h ờ i
t ư ơ n	t ư ơ n g
r r ư ờ n q	t r ư ờ n g
j ỹ	m ỹ
f ạ o	t ạ o
c h k ẩ n	c h u ẩ n
g i a n	g i a n g
c ạ n m	c ạ n h
t ấ y	t h ấ y
c ị	v ị
b ậ u	h ậ u
l h o n g	l u o n g
đ o à	đ o à n
c h u y 3 3 n	c h u y ê n
f y	t y
l a v a b o	l a v a b o
l ã g h	l ã n h
t u y ế q	t u y ế n
g i ấ j	g i ấ u
c n g	c ộ n g
d d ò n	đ ò n
t h í c h	t h u
b ọ	h ọ
k h 4	k h a
s ứ	s ứ
v ẹ m	v ẹ m
t r a n	t r a n
d ẹ p	d ẹ p
n q k y ê n	n g u y ê n
n ữ a	n ư ớ c
q u n	q u ê n
h e r c u l e	h e r c u l e
h a n g	m a n g
q r 4 n d 3	g r a n d e
e u	e u
c h ố k	c h ố i
b l o o d	b l o o d
v i c	v i ệ c
đ ô n b	đ ô n g
t o á m	t o á n
n g y e n	n g u y e n
h á c h	t á c h
t h h	t h u
n ư j	l ư u
j h ô n g	k h ô n g
h ợ p	h ợ p
b e i r u t	b e i r u t
c ò	c ò n
p h a	p h á
đ ầ j	đ ầ y
q j ả j	g i ả m
x ư ớ p	c ư ớ p
h u y	h u y
b u r u n d i	b u r u n d i
n 4 q	n a m
t h a	t h a
b ê n h	b ê n h
t ư ở n q	t ư ở n g
b ộ n	b ộ n
đ á p	đ á p
c l a u d i u s	c l a u d i u s
b y ộ c	b u ộ c
g ố i	r ố i
4 t t 4 c k	a t t a c k
n q ư ờ	n g ư ờ i
n ê r	n ể
m ì n	m ì n h
b ă s n	b ắ n
s ủ a	c ủ a
t h à	t h à
đ é o	é o
m o á	m o á
v ẫ q	v ẫ n
t h ư ơ n q	t h ư ờ n g
h ủ n g	k h ủ n g
ô t 0 0	ô t ô
t j ể	t h ể
m i n m	m i n h
d 0 f n q	d ò n g
q f 4	g e a
j u v e n y u s	j u v e n t u s
v ê s t	v ế t
c h í n	c h í n
k j u y	k h u y
v i e t d t o c k f i n a n c e	v i e t s t o c k f i n a n c e
n h u n q	n h ư n g
r ộ	r ộ
t h i n h	t h i n h
t r u h g	t r u n g
a n d r a d e	a n d r a d e
n ị c b	l ị c h
k y s	k ý
ừ n g	d ừ n g
y h ậ t	t h ậ t
p h í z	p h í a
e r i c	e r i c
n h ả	n h ả
đ a n g	đ ă n g
l í p	l í p
q j q m	g i a m
n q à h	n g à y
c à o	c à o
ẻ m	e m
k h u y ế n	k h u y ế n
b ằ n y	b ằ n g
v ậ y	v i
q u ẹ t	q u ẹ t
d ấ y	d ấ u
t r u n q	t r ù n g
s a t i n	s a t i n
c h u a	c h i a
c a o	c á o
u ố t	s u ố t
t i ề u	t r i ề u
t g ờ i	t h ờ i
d i ệ h	d i ệ n
q h 4 r b j	g h a r b i
ư ở n g	t ư ở n g
t à n h	t h à n h
d ụ q q	d ụ n g
s a h a t o r	s a h a t o r n
n h ữ m g	n h ữ n g
n ộ n	n h ộ n
c ắ m	c ắ m
k h ẳ g	k h ẳ n g
t h y ê n	t u y ê n
v ặ n	v ặ n
k h p a	k h o a
v h í n h	c h í n h
k h j ế m	k h i ế m
k t á c h	k h á c h
s h o w a d v o l	s h o w a d v o l
c a p i t o l	c a p i t o l
b á i	b á o
y i n h	t i n h
c h ụ	c h ụ p
b i ê j t	b i ệ t
h ô x	h ỗ
c u b	c u b
m a e j o	m a e m o
đ ò n	đ ò n
p r e m	p r e m
k n ở i	k h ở i
k 0 4 y	h o a y
m ế t	h ế t
h o i	h ỏ i
k b ắ c	k h ắ c
m 4 r b n 3	m a r b l e
k â y	l â y
h i ề u	c h i ề u
đ ũ 4	đ ũ a
t r i ể m	t r i ể n
h a u	h a y
m u ô n	m u ố n
m o t t a i n a u	m o t t a i n a i
m a r i o t t	m a r r i o t t
q 4 y	g â y
p h o f n g	p h ò n g
h a h	h a y
x ứ	s ứ
n g o a n	n g o a n
c ả b g	c ả n g
d d à n	đ à n
p h a	p h a n
q j ả m	g i ả m
x ứ u	c ứ u
r h ê m	t h ê m
v i ê n	v i ê n
t h	t h
v h ữ a	c h ữ a
o á g	o á n
w a l o	w a l l
m u a	m ù a
w 4 r	w a r
t u í c h	t h í c h
h o ạ h	h o ạ c h
t h a t	t h a y
b r a i l	b r a z i l
t h ự	t h ự c
n s t a n y a h u	n e t a n y a h u
f ự	t ự
h ấ p	c h ấ p
a s t n	a s t o n
g i á m	g i á m
n h ở	n h ở
g o f o o d	g o f o o d
ạ i	m ạ i
f i ả i	g i ả i
t h ự s	t h ự c
t r a n t	t r a n g
v t g	v t g
k o s o v o	k o s o v o
l u k a	l u k a
t ứ s	t ứ c
h ư	h ư u
q r ầ n	t r ầ n
t o r o n t o	t o r o n t o
n h ữ n m	n h ữ n g
h o o m	h ô m
v 4 3 n c j 4	v a l e n c i a
k 0 n 3 r	k o h l e r
s ữ w	s ữ a
n l i n e	i n l i n e
f o e e s t e r	f o r e s t e r
v i r u s	v i r u s
đ o n	đ o á n
n j ê	n i ê
p g ê	p h ê
i b	i b
t r ụ y	t r ụ y
r ồ	r ồ
v j w t j 3 t	v i e t j e t
m ắ f	m ắ t
v j ệ n	v i ệ n
b ì n h	b ì n h
n é	n é
k h ỏ a	k h ỏ a
l y a l o n	l y a l i n
t h ớ i	t h ớ i
m ọ	m ọ i
s h i p e r	s h i p p e r
a l e r t	a l e r t
4 r j 4 j 4	a r i a n a
đ 0	đ ó
k i ể u	k i ể u
đ ă j t	đ ặ t
c h ư	c h ữ
r ấ h	r ấ t
s u à	q u à
t r n n q	t r o n g
c h ó j g	c h ó n g
c ô n q	c ô n g
s h ú n q	c h ú n g
k 0 ặ s	h o ặ c
ă n g	đ ă n g
đ ẳ n n	đ ẳ n g
k h ô m g	k h ô n g
h ê	h ệ
b ú 4	b ú a
h á c	k h á c
c h t	c h ấ t
u r b a n	u r b a n
d d u	d d u
l à	c á i
t ụ d	t ụ c
k o a	k h o a
n f ạ i	n g ạ i
p h á h	p h á t
đ ô i	đ ổ i
k ê	k ế
t ợ	t r ợ
t h â n	t h ầ n
g h ử	t h ử
t í n	t í n h
x a o	c a o
m â t	m ậ t
q 0 à j	n g o à i
p g á t	p h á t
b w n g	b a n g
p q ủ	p h ủ
m h ì n	n h ì n
l e f a s o	l e f a s o
g e n è v e	g e n è v e
c u ơ n g	c ư ơ n g
g o á m	g i á m
t ư ợ n r	t ư ợ n g
ầ y	v ầ y
g o i n g	g i ố n g
h ấ t	b ấ t
t h ố m g	t h ố n g
x ử a	c ử a
n g h i j	n g h ị
g à n g	h à n g
n â f n	l ầ n
q r ễ	t r ễ
m i n u t e m a n	m i n u t e m a n
n ã y	n ã y
d d ố c	đ ố c
l a n h	l a n h
t r á h	t r á c h
w e b i t e	w e b s i t e
t r ư ớ f	t r ư ớ c
n g ọ c c c c	n g ọ c c c c
n g à g h	n g à n h
f a n	t a n
k j m p h r 3 y	h u m p h r e y
ố m	ố m
e a s y	e a s y
t r i ê n	t r i ể n
m ọ o	m ọ i
q j u n	g i u n
r â s t	r ấ t
m ộ n t	m ộ n g
p h i ế u	p h i ế u
b e	b e
s t a r	s t a r
a d m i n	a d m i n
s e v e n t e e n	s e v e n t e e n
b i ể b	b i ể n
t r a v e l	t r a v e l
c h o u	c h o u
t h ờ	t h ờ
d o l l a r	d o l l a r
u n	u n
l ụ m	l ụ m
s d o	s e o
c n g	c ũ n g
v ư n g	v ư ơ n g
g i ơ	g i ờ
h o f a	h ò a
l ầ y	l ầ y
c j ứ c	c h ứ c
b i ề m	n i ề m
t a a m	t â m
đ ă t	đ ắ t
t ư ợ g g	t ư ợ n g
t h a g	t h a m
m ẫ u	m ẫ u
n g o n	n g o n
l ầ m	l ầ m
b ă n g	b ă n g
t h 0 á t	t h o á t
k j h h	k i n h
c p u t o	c a p u t o
t h ị n n	t h ị n h
g l ẽ	g i ẽ
m 3 r c 3 d 3 s	m e r c e d e s
k h k a	k h o a
đ á n	đ á p
t r ứ n	t r ứ n g
đ à o	đ à o
y ế j	y ế u
n i ê h	n i ê n
l ỗ o	l ỗ i
v o t	v ọ t
c a s t r l l a n i	c a s t e l l a n i
2 0 m b	2 0 m b
m e x i c o	m e x i c o
l đ l đ	l đ l đ
x u a n	x u a n
s g c	s r c
k 0 à q	h o à n g
p a r k i m s o n	p a r k i n s o n
v ậ y	v à
ự n g	d ự n g
m c k 4 y	m c k a y
n g h ề	n g h ề
p i c k	p i c k
m q h j ê n	n g h i ê n
t t ầ m	t r ầ m
q 0 m	g o m
m q h ĩ	n g h ĩ
q 0 ạ c h	h o ạ c h
q j á c	g i á c
a m o l e d	a m o l e d
b u 4	m u a
t h ư ờ n	t h ư ờ n g
h ợ o	h ợ p
t h è m	t h è m
p h n	p h ầ n
m u r i c i n	m u r i c i n
n q ư ờ u	n g ư ờ i
m o a	m á
t j ố n g	t h ố n g
k j y ế t	h u y ế t
x ó t	s s ó t
n h u ễ m	n h i ễ m
c h ứ q	c h ứ n g
b a n g k k	b a n g k o k
g k ữ	g i ữ
l o n	l o ạ n
l i i n h	l i i n h
d u f n g	d ù n g
p h ô n g	p h ô n g
k a m i	k a m i
t i ê s n g	t i ế n g
n k e	n h é
g i z o	g i a o
ả n	b ả n
s 4 c h	s á c h
t h ả o	t h ả o
c m u y ê n	c h u y ê n
m o t t a i n a i p h u n u v i s t n a m	m o t t a i n a i p h u n u v i e t n a m
c u ế	c h ế
t ư ợ n q	t ư ợ n g
c u j ề u	c h i ề u
h i	h ả i
b 4	b a y
h ô g	h ô m
g l à n h	g i à n h
s ứ f	s ứ c
p h 3	p h ê
m o m o a	m o m o a
t h ư a	t h ư a
e r r	e r r
v l x d	v l x d
g p	g ặ p
c n 4 s s	c l a s s
t u y ề n	t h u y ề n
q u u	q u y
t f u m p	t r u m p
b i j	b ị
n q ộ h	n g ộ t
r ê b	t r ê n
n ặ n g	n ặ n g
t ậ t	t ậ t
t u ấ t	t u ấ t
l â y	l â y
i s t a n b u l	i s t a n b u l
k ò w	h ò a
s e t	s e t
j o t a	j o t a
b à	b à n
n ư ớ	n ư ớ c
t r í c h	t r í c h
n ầ n	n ầ n
c n ứ c	c h ứ c
s ỉ	s ỉ
t h à n	t h à n h
n h â n	n g â n
y ố t	t ố t
n q ư n q	n g ừ n g
h k à n	h o à n
b h i ệ m	n h i ệ m
p a r k	p a r k
q u ằ n	q u ằ n
k g u y ê n	k h u y ê n
q u 4 y	q u a y
h i d d e n	h i d d e n
n ã n h	l ã n h
c h o à n g	c h o à n g
đ j ệ p	đ i ệ p
t r j ể q	t r i ể n
t g ư ớ c	t r ư ớ c
h a n h	h a n h
m ù j	m ù i
c o b	c o n
g ấ t	t ấ t
q 3 n 3 q 4 n	g e n e r a l
v ạ c	v ạ c
s m	e m
g i ư ờ n g	g i ư ờ n g
n o	n o
k 0 ệ n	h i ệ n
h ú f	h ú t
h ê h	h ê
r r ẻ	t r ẻ
j ộ i	h ộ i
c h 0 n	c h ọ n
s ú y	s ú y
ư ơ n	ư ơ n g
n y u y ễ n	n g u y ễ n
j j j	i i i
c ờ n g	c ư ờ n g
d ư j n q	d ự n g
n u â j t	l u ậ t
j e r r y r i f e v e r y t h i n g	j e r r y r i g e v e r y t h i n g
l ư n g	l ư n g
t h ạ c	t h ạ c
n n o à i	n g o à i
h a n h	h à n h
t r ư ờ m g	t r ư ờ n g
q h é	g h é
p ư ợ n g	l ư ợ n g
t h i ế p	t h i ế p
k 0 n q	p h o n g
m y p	m y p
q u u ề n	q u y ề n
h o g	k h ô n g
n v u y ê n	n g u y ê n
v o i	c o i
v à i	v à o
h h o á t	t h o á t
r ộ n g	r ộ n g
v ă m	v ă n
h ơ i	h ơ i
n ă s p	n ắ p
b ơ m q u y ê n	b ơ m q u y ê n
đ ạ m	đ ạ m
c y ứ c	c h ứ c
t a o	t ự
v h ậ h	c h ậ m
s c o t l a n	s c o t l a n d
h ạ n n	h ạ n g
m ế j	m ế n
q 3 4	g e a
t t ầ n	t h ầ n
t a f i	t à i
t r u n v	t r u n g
k h i ê b	k h i ê m
b l a z w r	b l a z e r
h o à j g	h o à n g
đ e m	đ ề n
l ạ t	l ạ t
c a n a l y s	c a n a l y s
w e i y h t	w e i g h t
n ò n g	n ò n g
k h á n h đ ỗ	k h á n h đ ỗ
m u ộ j	m u ộ n
k i n g s l e y	k i n g s l e y
t n	t ê n
n t ắ c	n h ắ c
s e l f i e	s e l f i e
d o o m	d o o m
ợ i	l ợ i
i ờ	g i ờ
đ o ạ t	đ o ạ t
r ơ i	r ơ i
k i u h	k i u n
d r i	d r i
b a n g	b ă n g
h i g a i n	h i g u a i n
n j v 3 s t r 3 4 m	l i v e s t r e a m
k i ê r u	k i ể u
h ứ c	m ứ c
b k ệ n	b i ệ n
N a m	n a m
n ù	m ù
v i l a	v i l l a
o r d	o r d e r
0 é 0	l é o
u ợ p	h ợ p
m a n	m ã n
k ĩ u	k i ể u
k á t	p h á t
p g ạ m	p h ạ m
m o n g e r r e y	m o n t e r r e y
t ô i	t ố i
h o ạ	h o ạ
f r a n c e s c o	f r a n c e s c o
n i	n ó i
c h ắ b	c h ắ n
w â n	s â n
t h a u	t h a u
v á n g	v á n g
m ì n	m ì n
y e g	y e g
n h à	n h à
b a	b à
c à n g	c à n g
v a y	v a y
e n d	e n d
m l	m l
h à b h	h à n h
g ử k	g ử i
h ệ u	h i ệ u
đ ỉ n t	đ ỉ n h
s a y y y	s a y
a v e n e r s	a v e n g e r s
d d ỉ n h	đ ỉ n h
v i r t a i	v i e t a i
t h 4 b h	t h a n h
g i n	g i a n
t r q n g	t r a n g
đ â y	đ ẩ y
đ ó a	đ ó
v o ệ t	v i ệ t
à n g	t à n g
h r a n g	t r a n g
e u n g	d u n g
v ợ	v ợ
ằ m	n ằ m
d d ẩ y	đ ẩ y
g ầ n	g ầ n
x á n g	s á n g
c ó p	c ó p
v ư ơ n	v ư ơ n
v ế	v ế
s r c	s r c
t h j	t h ì
q 0 4	g i a
b o o k i n g	b o o k i n g
c w n h	c a n h
t h i e e n	t h i ê n
n v h è o	n g h è o
d j n h	s i n h
n g ạ i	n g ạ i
k h a n g	k h a n g
c ắ p	c ắ p
f a r	f a r
m ẹ n	h ẹ n
p g i m	p h i m
đ x n g	đ a n g
t r i c k	t r i c k
d a e s a n g	d a e s a n g
f a n c y b o x	f a n c y b o x
d d ó	đ ó
n ị c h	l ị c h
k u q ệ n	h u y ệ n
c ạ n b	c ạ n h
c q ủ	c h ủ
t u ầ	t u ầ n
k h 4 n q	k h a n g
l p 5 8 0	l p 5 8 0
p h ò n m	p h ò n g
h ô i	h ồ i
m ì n t	m ì n h
t ô j q	t ô n g
d i ề u	d i ề u
t h ờ k	t h ờ i
r e s t o r e	r e s t o r e
v n đ	v n đ
b t s	b t s
t ậ u	t ậ u
b ế	b ế n
r ô n r	r ô n g
t h ố n r	t h ố n g
q j n h	s i n h
t ú t	h ú t
w ứ	s ứ
t j ế b q	t i ế n g
j 4 k 4 r t s	j a k a r t a
c h u y ệ	c h u y ệ n
t r u m q	t r u n g
t e s l q	t e s l a
n ấ n q	n ấ n g
t r ộ b	t r ộ m
h â u	c h â u
t â t	t â y
m u c	m ụ c
j n s t 4 q r 4 m	i n s t a g r a m
a 5	a 5
g a m a	g a m a
k h ê	k h ê
r e z l	r e a l
t r ọ q q	t r ọ n g
0 0 5 6 7 3 8 c a 5 9 8 a 5 1 8 7 c 3 e 5 7 f 8 0 f 5 9 4 7 1	0 0 5 6 7 3 8 c a 5 9 8 a 5 1 8 7 c 3 e 5 7 f 8 0 f a 5 9 4 7 1
t h u â j t	t h u ậ t
h ù a	c h ù a
c h a v e s	c h a v e s
t h ư ợ g g	t h ư ợ n g
x õ 4	x õ a
v j ê c	v i ệ c
n q h ị c h	n g h ị c h
k ạ	h ạ n
r ằ n	r ă n g
m ọ c	m ọ c
n h ữ q	n h ữ n g
d d ạ 0	đ ạ o
t i ê n	t i ề n
d ư ờ n g	c ư ờ n g
o x l a d e	o x l a d e
l ã n m	l ã n h
n u ô u	n u ô i
l ệ	l ệ
n h ể	n h ể
k ì m	k ì m
m é	b é
v i e t i n b a n k	v i e t i n b a n k
d r m	d r m
m e n l o	m e n l o
đ t	đ t
p h ú c	p h ú c
c a r m	c ả m
p p	p p
c u ứ	c h ứ
g â m	h â m
e u r o w i m d o w	e u r o w i n d o w
c ư ờ j g	c ư ờ n g
f a n	b a n
k h a s	k h á
c b ú n g	c h ú n g
ư ơ n q	ư ơ n g
n g a n	n g à n
v j ễ n	v i ễ n
d ị c m	d ị c h
t f u y ề n	t r u y ề n
x h í n h	c h í n h
l ý	l ý
k h o á n	k h o á n
đ ú g	đ ú n g
n q ặ t	n g ặ t
ạ o	đ ạ o
f ầ u	c ầ u
b i ê n	v i ê n
s ậ u	c ậ u
c h ỗ	c h ỗ
t g u ố c	t h u ố c
m g h e	n g h e
g o o t l e	g o o g l e
á i	g á i
f r e d r i c k	f r e d e r i c k
n h ă j t	n h ặ t
t ư ớ n g	h ư ớ n g
y h ấ y	t h ấ y
n ê m	n ê m
c h u ồ n g	c h u ồ n g
t i ê s t	t i ế t
r k ê n q	r i ê n g
f r ờ j	t r ờ i
n u ô	n u ô i
t j	t o
g i ả u	g i ả i
t h ư	t h ứ
c h â g	c h â n
r â u	r â u
a d o r r	a d o r g
f u n x t i o n	f u n c t i o n
n h i ê n	n h i ê n
t ẩ u	t ẩ u
c o n t r o l	c o n t r o l
s 4 m r 4 j	s a m u r a i
n g u y ệ	n g u y ệ n
k ư ơ r n q	h ư ở n g
h ù	b ù
c à b h	c à n h
l e x u s	l e x u s
a r k e r	m a r k e r
v 4 y	v a y
n ỏ n q	b ỏ n g
p h á p	p h á p
u h i ế n	k h i ế n
n ê j	n ê n
k 4 t 3	k a t e
b ự c	v ự c
c u n	c u n g
x ớ m	s ớ m
đ u ố i	đ u ố i
d n g	d á n g
n y h ĩ w	n g h ĩ a
n h u	k h u
g i ả n r	g i ả n g
i s e a e l	i s r a e l
t ư ớ n t	t ư ớ n g
d k ệ n	d i ệ n
b r a z i p	b r a z i l
p j ầ n	p h ầ n
p s 4	p s 4
c ọ n	c h ọ n
m u a n g	m u a n g
m a n g	r a
c a i	c a o
d j ệ u	d i ệ u
n q h j ệ n	n g h i ệ p
j i ệ n	k i ệ n
n a n g	n ă n g
p h a n g	p h a n g
c h ằ m	c h ằ m
n u n g	n u n g
s ư a	s ư a
s s	s s
u y	ủ y
c h u y ệ n	n à o
c ũ j g	c ũ n g
ô i	m ô i
n h ấ p	n h ấ p
h u o n g	h u o n g
c à	c à
h á o	h á o
d d ư ờ n g	đ ư ờ n g
v l v e r d e	v a l v e r d e
t j ê	t i ê m
k i ê s m	k i ế m
k u y ệ n	h u y ệ n
y ò 4	h ò a
t u ầ y	t h ầ y
k j ế h	k i ế m
t h ư o n g	t h ư ơ n g
ạ n	b ạ n
d y	d u y
s ố j g	s ố n g
t t e o	t h e o
r u n g	r u n g
n g ạ i	n g o ạ i
n g ạ c	n g ạ c
i n c h e o n	i n c h e o n
n j ệ u	h i ệ u
h à g	h à n g
t h ấ p	t h ấ p
s á n r	s á n g
s m	s a m
o c f a n	o c t a n
n m h i	n g h i
t h u	t h u
r ợ	r ợ
k i ể h	k i ể m
n g â m	n g â m
đ á y	đ á y
s a t e	s t a t e
g g ư ờ i	n g ư ờ i
p h i e e n	p h i ê n
p h í 4	p h í a
t y r	t ỷ
t h à n g	t h à n h
s à n h	s à n h
p g s	p g s
h ỗ	c h ỗ
f u b c t i o n	f u n c t i o n
q k a n g	q u a n g
n m â n	n h â n
3 ự 4	d ự a
t k v v	t k v v
đ ư ơ n n	đ ư ơ n g
x à o	x à o
ớ i	t ớ i
t h	t h ọ
s e u n g	s e u n g
t r ồ b g	t r ồ n g
v a o	b a o
f á c h	c á c h
q h â n	t h â n
h ư ơ n g	h ư ớ n g
t á i	t r á i
p ắ p	l ắ p
t h ư ờ n h	t h ư ờ n g
b i ể	b i ể u
o w i	ơ i
m ạ n h	h ạ n h
t ạ i	t ạ i
p h á n	p h á n
c h á n h	c h á n h
c h a n n e l	c h a n n e l
n ê n	l i ê n
p h ư ơ h g	p h ư ơ n g
v i ờ	g i ờ
n q ứ 4	n g ứ a
i a r r r	ỉ a
f e d o r a	f e d o r a
h ả n	p h ả n
t u ề n	t i ề n
n g n	n g ă n
h ơ h	h ơ n
m i c n e l l e	m i c h e l l e
q j 4	g i a o
b j ệ y	b i ệ t
s w v i l l a	s e v i l l a
k ẹ p	h ẹ p
v ậ g	v ậ y
n q h 3	n g h e
n ư ớ v	n ư ớ c
y h ứ	t h ứ
v ụ n g	b ụ n g
f h í n h	c h í n h
x h á n	c h á n
m o o c	m o ó c
p y ú t	p h ú t
đ 4 u	đ a u
h u ệ	h u ệ
c o r r e l a t o r	c o r r e l a t o r
r h a y	t h a y
l u ô m	l u ô n
p y t h 0 n	p y t h o n
v i e t	v i e t
d q n h	d a n h
l ữ	l ữ
h u u	h ư u
q â y	g â y
b x	b a
t h u	t h ầ u
n ậ t	l u ậ t
c o h t a i n e r	c o n t a i n e r
n è	n è
g i a u	g i à u
h g à y	n g à y
đ ô i	đ ô i
b é	b é
k o n g	k o n g
v h ấ t	c h ấ t
p a k e	p a k e r
p ỡ	l ỡ
l a i i	l ạ i
m ă s c	m ắ c
t ì n y	t ì n h
m a z d a	m a z d a
g á o	g á i
k i ê	k i ê
n h ũ	n g ũ
x ả	x ả
d ầ k	d ầ u
l u n	l u n
n f u y ễ n	n g u y ễ n
c s k t	c s k t
đ ư ợ v	đ ư ợ c
k h ú c	k h ú c
t ế n	t i ế n
t j e	t h e
t h j ệ n	t h i ệ n
ả n h	ả n h
n g u ẹ t	n g h ẹ t
g ô m	g ồ m
w é	q u á
k ị f h	k ị c h
y ợ i	g ợ i
c n g	c ù n g
o ọ t	l ọ t
v i ệ	v i ệ n
n ả n	n ả n
v i d e o j s	v i d e o j s
t r ạ n	t r ạ n g
t j ê m	t h ê m
c h ồ n v	c h ồ n g
m o j g	m o n g
c h ế n	c h i ế n
y á n	h á n
p a a g r a p h	p a r a g r a p h
n h ư n g ọ c	n h ư n g ọ c
b 4 n	b ạ n
c h j n g	c h u n g
x ă n g	x ă n g
h c _ l o c a t i o n	h c _ l o c a t i o n
p h á r	p h á t
i b s t a g r a m	i n s t a g r a m
d u n g	d u n g
đ ổ u	đ ổ i
t ẩ n	t ẩ n
x n	x l
p h u	p h ù
q j ố n q	g i ố n g
g a y	n ó i
n ô n f	n ô n g
d d a m	đ a m
t j ê y	t i ê u
ấ t	v ấ t
r j ê n	r i ê n g
t j ự	t h ự
b e s n	b é n
n à i	n à o
n j n b	n i n h
c o l o s b a b	c o l o s b a b y
c h u y ê n	c h u y ê n
k h a n u	k h a n h
t ớ o	t ớ i
t h a r i	t h ả i
a ẽ	s ẽ
k e n e d y	k e n n e d y
d â u	d ấ u
t l n h	t i n h
h ơ b	h ơ n
4 ả n	s ả n
b i l p	b i l l
k 3 5	h 3 5
e i i	ơ i
q l	q l
t r a m	t r a m
h ư ơ n	h ư ơ n
c h ì m	c h ì m
k à n h	h à n h
ạ n g	m ạ n g
g o ã n	g i ã n
t ư n q	t ư n g
p h â j	p h â n
c h ú g g	c h ú n g
t r â f n	t r ầ n
f í n h	t í n h
p l a y l i s t c o n f	p l a y l i s t c o n f
c o n c e p t	c o n c e p t
n q 4	n g a
m o d e m	m o d e m
c ô n g	c ô n g
s 4 r n	s ả n
g a n	g a n
n h a n	n h a n
r ê	r ê
c u n g	c u n g
d u ệ	d u ệ
d ầ n	c ầ n
k h ô s c	k h ố c
p e o	p r o
b e a t	b e a r
ả n h	l ả n h
đ ỡ	đ ỡ
t r ố n	t r ố n
i ả n	g i ả n
i s r a s l	i s r a e l
t m i ệ p	t h i ệ p
l u y ệ b	l u y ệ n
e l l i l t t	e l l i o t t
t b ủ	t h ủ
f h o ắ t	t h o ắ t
d 4 t 4	d a t a
p r n h	p e n h
q 4 z 4	g a z a
n h ữ	n h ữ
n h ộ n	n h ộ n
đ e	đ e
v ồ n	v ồ n
d d o à n	đ o à n
t h ạ n n	t h ạ n h
m a z d	m a z d a
đ ả n r	đ ả n g
b i l b a o	b i l b a o
i t e m s	i t e m s
b i ế r	b i ế t
p a t r i c k	p a t r i c k
a r g e n t i n a	a r g e n t i n a
n ạ t	n ạ t
y í n h	t í n h
b â m	h â m
n y o ạ i	n g o ạ i
ố n q	ố n g
k h ụ	t h ụ
n t ó n g	n g ó n g
k h ơ i	k h ở i
s u b q r u	s u b a r u
t ú s	t ú c
c ầ j	c ầ u
n h ộ j	n h ộ n
a 3 5 0	a 3 5 0
k q s h d	h a s h d
n h	n h à
s 4 n	s â n
h ồ n v	h ồ n g
ứ n g	đ ứ n g
d ụ n r	d ụ n g
r ọ n q	t r ọ n g
b i ệ g	b i ệ t
v 0 ệ n	v i ệ n
c h n	c h ă n
ê i	ơ i
c k ố i	c u ố i
q k 4 n q	g i a n g
í t	í t
t r â m	t r â m
n g h k ệ p	n g h i ệ p
r y	t y
m u w	m u a
k h á c u	k h á c h
b u r i d a m	b u r i r a m
d ổ	c ổ
c ư a	c ử a
f ả n h	c ả n h
5 1 2 k b p s	5 1 2 k b p s
k 0 4 m q	h o a n g
c á c h	g ặ p
t ậ b	t ậ m
ỏ j	m ỏ i
t ầ q q	t ầ n g
v k s	v k s
c ứ n m	c ứ n g
h a m m d r	h a m m e r
c h ì a	c h ì a
l u â t	l u ậ t
d ù n n	d ù n g
n ợ j	l ợ i
w u á t	q u á t
đ ấ g	đ ấ t
l ư ớ t	l ư ớ t
t b u ế	t h u ế
4 s í t	a x í t
t y o e o f	t y p e o f
t r ư ơ n	t r ư ơ n g
c h ớ t	c h ấ t
n e n	n ê n
q k ú p	g i ú p
u ố n g	x u ố n g
h ô n g	h ô n g
h ư ơ b g	h ư ơ n g
t á f	t á c
k h	k h ó
k h o	k h i
d o n g	d ò n g
t h á n m	t h á n g
c h a m p l o n s	c h a m p i o n s
k h j	k h i
c h i e c	c h i ế c
v u n q	d u n g
p q s	p g s
r ô j	r ồ i
i r x n	i r a n
n z y	n a y
q r 3 3 n n s n d	g r e e n l a n d
d o s p l a y	d i s p l a y
m 4 n f	m a n g
n à u	n à y
s e a	s e a
e r w k n	e r w i n
b h j ề u	n h i ề u
r a n d y	r a n d y
g i ớ i	g i ớ i
đ ỉ n h	đ ỉ n h
m j 4	m u a
p v n	p v n
l ĩ h	l ĩ n h
b a n g	b ả n g
n q 4 q	n g a y
n 4	l à
s u n	s u n g
d o ễ n	d i ễ n
p e n n y w i s f	p e n n y w i s e
